cofi 1ycmt 5ycmt primeRate 3mTbill.2mkt
2.208 1.27 2.93 4.25 1.13
2.13 1.18 2.52 4.25 1.07
2.113 1.01 2.27 4.22 0.92
2.018 1.12 2.87 4 0.9
1.946 1.31 3.37 4 0.95
1.923 1.24 3.18 4 0.94
1.909 1.25 3.19 4 0.92
1.821 1.34 3.29 4 0.93
1.902 1.31 3.27 4 0.9
1.811 1.24 3.12 4 0.88
1.841 1.24 3.07 4 0.93
1.815 1.19 2.79 4 0.94
1.802 1.43 3.39 4 0.94
1.708 1.78 3.85 4 1.02
1.758 2.12 3.93 4.01 1.27
1.816 2.1 3.69 4.25 1.33
1.875 2.02 3.47 4.43 1.48
1.931 2.12 3.36 4.58 1.65
1.96 2.23 3.35 4.75 1.76
2.025 2.5 3.53 4.93 2.07
2.118 2.67 3.6 5.15 2.19
2.183 2.86 3.71 5.25 2.33
2.317 3.03 3.77 5.49 2.54
2.4 3.3 4.17 5.58 2.74
2.515 3.32 4 5.75 2.78
2.622 3.33 3.85 5.98 2.84
2.676 3.36 3.77 6.01 2.97
2.757 3.64 3.98 6.25 3.22
2.87 3.87 4.12 6.44 3.44
2.972 3.85 4.01 6.59 3.42
3.074 4.18 4.33 6.75 3.71
3.19 4.33 4.45 7 3.88
3.296 4.35 4.39 7.15 3.89
3.347 4.45 4.35 7.26 4.24
3.604 4.68 4.57 7.5 4.43
3.624 4.77 4.72 7.53 4.51
3.759 4.9 4.9 7.75 4.6
3.884 5 5 7.93 4.72
4.09 5.16 5.07 8.02 4.79
4.177 5.22 5.04 8.25 4.95
4.277 5.08 4.82 8.25 4.96
4.382 4.97 4.67 8.25 4.81
4.346 5.01 4.69 8.25 4.92
4.358 5.01 4.58 8.25 4.94
4.396 4.94 4.53 8.25 4.85
4.392 5.06 4.75 8.25 4.98
4.376 5.05 4.71 8.25 5.03
4.299 4.92 4.48 8.25 4.94
4.224 4.93 4.59 8.25 4.87
4.293 4.91 4.67 8.25 4.73
4.283 4.96 5.03 8.25 4.61
