%%% (Data source: Economic, LLC)
Month	1-year	2-year	3-year	4-year	5-year	7-year	10-year	30-year		
Apr-2006	5.33	5.32	5.33	5.35	5.39	5.45	5.52	5.65		
May-2006	5.4	5.4	5.42	5.44	5.48	5.55	5.63	5.77		
Jun-2006	5.6	5.57	5.56	5.57	5.59	5.62	5.67	5.76		
Jul-2006	5.66	5.59	5.57	5.58	5.6	5.63	5.68	5.76		
Aug-2006	5.49	5.35	5.3	5.31	5.33	5.37	5.43	5.54		
Sep-2006	5.38	5.19	5.13	5.13	5.15	5.2	5.25	5.37		
Oct-2006	5.37	5.19	5.15	5.15	5.16	5.21	5.26	5.4		
Nov-2006	5.3	5.09	5.03	5.01	5.02	5.05	5.11	5.23		
Dec-2006	5.25	5.02	4.94	4.93	4.94	4.97	5.03	5.18		
Jan-2007	5.38	5.23	5.16	5.15	5.16	5.19	5.25	5.37		
Feb-2007	5.38	5.22	5.15	5.14	5.15	5.18	5.24	5.37		
Mar-2007	5.22	4.99	4.92	4.92	4.95	5.01	5.1	5.28		
Apr-2007	5.3	5.06	5.01	5.02	5.05	5.12	5.21	5.42		
May-2007	5.36	5.17	5.12	5.12	5.14	5.2	5.29	5.48		
Jun-2007	5.46	5.43	5.46	5.5	5.55	5.62	5.7	5.86		
